OID_,정비유형,활용유형,위치,Latitude,Longitude,비고,F7,NEAR_FID_hospital,NEAR_DIST_hospital(m),NEAR_FID_school,NEAR_DIST_school(m),NEAR_FID_industry,NEAR_DIST_industry(m)
399,정비 후 활용,주거 공간,경상북도 문경시 산양면 우본리,36.6279322,128.2847323,-,,99,8434.089593,847,2145.685967,11600,5184.844178
400,정비 후 활용,주거 공간,경상북도 문경시 산양면 위만리,36.6462969,128.3044677,-,,99,10947.8469,556,4126.936497,11600,7715.606603
401,철거 후 활용,주차장,경상북도 문경시 산양면 형천리 696-3,36.644766,128.284647,-,,99,9366.27834,556,2499.054099,11607,6185.789183
402,기타,기타,경상북도 문경시 문경읍 요성리 339-9,36.7356476,128.1223695,-,,99,16949.75165,873,795.5454627,9736,11318.45695
403,정비 후 활용,주거 공간,경상북도 문경시 가은읍 왕능리,36.6471312,128.06948,-,,99,12915.43512,277,237.6794571,9163,985.5972143
404,기타,기타,경상북도 문경시 문경읍 하리 29-5,36.7347847,128.1103255,-,,99,17328.77164,324,540.1088849,8386,11029.0591
405,기타,기타,경상북도 문경시 동로면 마광리 526-0,36.6936761,128.3074218,-,,165,14140.76729,556,6104.189239,7464,11302.0246
406,기타,기타,경상북도 문경시 동로면 마광리 232-0,36.6878553,128.3131522,-,,165,13474.54996,556,6059.842273,7464,10531.9811
407,단순철거,단순철거,경상북도 문경시 마성면 남호리 170-0,36.7097121,128.1174628,-,,99,14580.99513,504,2166.868588,8386,8645.867785
408,단순철거,단순철거,경상북도 문경시 마성면 외어리 607-2,36.7044412,128.1293108,-,,99,13558.21801,504,1091.662244,9736,7995.284656
409,단순철거,단순철거,경상북도 문경시 산양면 현리 351-0,36.6376801,128.2564468,-,,99,6900.895353,556,1889.341085,11607,3848.995131
410,단순철거,단순철거,경상북도 문경시 산양면 현리 114-2,36.6376523,128.2573428,-,,99,6958.572484,556,1882.630275,11607,3895.028248
411,단순철거,단순철거,경상북도 문경시 산양면 현리 113-0,36.6376117,128.2571434,-,,99,6942.245761,556,1888.991694,11607,3880.569346
412,기타,기타,경상북도 문경시 동로면 간송리 890-6,36.7366786,128.3108501,-,,165,15901.27453,336,3891.630665,5654,14155.69026
413,단순철거,단순철거,경상북도 문경시 가은읍 저음리 287-0,36.6377145,128.0951612,-,,99,10393.14459,277,2312.529229,8386,1722.861724
414,기타,기타,경상북도 문경시 동로면 생달리 122-0,36.7899826,128.2671864,-,,99,22368.59246,813,3837.407163,11378,18020.60126
415,단순철거,단순철거,경상북도 문경시 마성면 외어리 729-2,36.6960174,128.1321248,-,,99,12614.38299,504,171.1002238,9736,7081.213443
416,단순철거,단순철거,경상북도 문경시 가은읍 전곡리 834-1,36.6070439,128.0154923,-,,52,16243.18698,508,1200.082762,9163,6403.212007
417,기타,기타,경상북도 문경시 문경읍 중평리 279-0,36.7990704,128.1963381,-,,99,22536.79891,396,3584.000445,9736,17276.61289
418,기타,기타,경상북도 문경시 문경읍 갈평리 561-19,36.7859435,128.1585827,-,,99,21388.41671,396,188.5037964,9736,15839.94346
419,기타,기타,경상북도 문경시 문경읍 갈평리 240-0,36.7928206,128.1776302,-,,99,21926.4309,396,1777.610333,9736,16506.45445
420,기타,기타,경상북도 문경시 문경읍 평천리 185-1,36.7898947,128.1392166,-,,99,22174.30317,396,1765.232048,9736,16551.44253
421,단순철거,단순철거,경상북도 문경시 마성면 정리 20-3,36.6865629,128.1078297,-,,99,12950.82602,789,1808.262583,8386,5964.488381
422,기타,기타,경상북도 문경시 문경읍 하리 15-6,36.7358796,128.1115443,-,,99,17387.4517,873,437.3986305,8386,11176.30508
423,기타,기타,경상북도 문경시 문경읍 상리 443-1,36.7379532,128.1079345,-,,99,17739.25325,755,256.4346036,8386,11311.43357
424,정비 후 활용,주거 공간,경상북도 문경시 산양면 녹문리,36.6267128,128.258119,-,,99,6277.648614,125,1500.109464,11600,3080.525957
425,기타,기타,경상북도 문경시 문경읍 당포리 632-11,36.7514279,128.1557143,-,,99,17679.86415,736,301.2376765,9736,12079.94957
426,기타,기타,경상북도 문경시 문경읍 당포리 630-0,36.7515176,128.1540537,-,,99,17722.77889,736,166.1366866,9736,12115.27328
427,단순철거,단순철거,경상북도 문경시 마성면 신현리 503-2,36.6632123,128.1180281,-,,99,10406.79036,789,2279.717074,8386,4598.662299
428,단순철거,단순철거,경상북도 문경시 문경읍 팔영리 279-2,36.7575928,128.1350513,-,,99,18825.89703,736,1667.007661,9736,13172.39625
429,기타,기타,경상북도 문경시 문경읍 각서리 214-10,36.7432932,128.0694595,-,,99,20041.34748,324,3240.713593,9163,11545.73054
430,기타,기타,경상북도 문경시 동로면 적성리 703-1,36.7797875,128.3141462,-,,165,18765.03658,384,419.5281314,5654,17861.15061
431,단순철거,단순철거,경상북도 문경시 마성면 정리 379-0,36.6856175,128.0984095,-,,99,13420.30874,789,2613.796556,8386,5513.780789
432,단순철거,단순철거,경상북도 문경시 산양면 존도리 285-0,36.619137,128.2503313,-,,99,5246.60671,125,791.4644282,11600,2013.676054
433,정비 후 활용,주거 공간,경상북도 문경시 산양면 존도리,36.6169704,128.246554,-,,99,4834.454214,814,887.1243619,11600,1598.916095
434,기타,기타,경상북도 문경시 문경읍 각서리 28-3,36.7459036,128.0780572,-,,99,19848.60975,324,2595.571974,9163,11829.19821
435,기타,기타,경상북도 문경시 문경읍 마원리 689-1,36.7240435,128.0996162,-,,99,16766.97259,324,1494.181503,8386,9635.686023
436,기타,기타,경상북도 문경시 문경읍 마원리 492-8,36.7159074,128.1116517,-,,99,15436.63815,324,2400.801543,8386,9076.524855
437,기타,기타,경상북도 문경시 문경읍 마원리 228-7,36.7173698,128.1118276,-,,99,15568.81594,324,2248.483159,8386,9234.104396
438,정비 후 활용,주거 공간,경상북도 문경시 가은읍 왕능리,36.6471312,128.06948,-,,99,12915.43512,277,237.6794571,9163,985.5972143
439,단순철거,단순철거,경상북도 문경시 산북면 서중리 47-1,36.6341158,128.2529132,-,,99,6401.765217,125,2315.354706,11607,3342.951955
440,단순철거,단순철거,경상북도 문경시 산북면 서중리 28-2,36.6349323,128.2529865,-,,99,6466.827114,556,2250.80561,11607,3420.080715
441,단순철거,단순철거,경상북도 문경시 호계면 막곡리 145-0,36.6290203,128.2057134,-,,99,3708.202198,126,638.3903621,9692,2051.402109
442,기타,기타,경상북도 문경시 문경읍 각서리 214-21,36.7425037,128.0693435,-,,99,19976.01041,324,3232.638128,9163,11458.61915
443,단순철거,단순철거,경상북도 문경시 동로면 적성리 173-0,36.785482,128.3214739,-,,165,18792.53224,384,1260.78258,5654,18092.50556
444,단순철거,단순철거,경상북도 문경시 가은읍 전곡리 486-2,36.6037807,128.0268745,-,,52,15178.35227,508,2098.876757,9163,5827.802591
445,단순철거,단순철거,경상북도 문경시 가은읍 성저리 315-7,36.6143659,128.0394321,-,,52,14323.15524,508,3486.946696,9163,4206.723191
446,단순철거,단순철거,경상북도 문경시 가은읍 왕능리 559-6,36.6499612,128.0596792,-,,99,13841.25809,763,754.6087905,9163,1792.763066
447,단순철거,단순철거,경상북도 문경시 산북면 소야리 188-0,36.7299277,128.2753375,-,,99,16347.25463,813,4430.141552,11378,12695.57445
448,기타,기타,경상북도 문경시 동로면 마광리 269-0,36.6867757,128.3143934,-,,165,13337.45521,556,6076.807207,7464,10376.20537
449,단순철거,단순철거,경상북도 문경시 산북면 석봉리 384-0,36.7254138,128.2128489,-,,99,14412.24299,813,4819.76401,9736,9542.962076
450,기타,기타,경상북도 문경시 동로면 간송리 899-0,36.7386553,128.3105643,-,,165,16044.68864,336,3676.303176,5654,14337.11965
451,기타,기타,경상북도 문경시 동로면 인곡리 214-2,36.7108521,128.3219012,-,,165,13619.39526,336,6763.482008,5654,11417.72628
452,기타,기타,경상북도 문경시 문경읍 지곡리 642-0,36.7578147,128.1157566,-,,99,19443.51894,873,2089.327639,8386,13621.29425
453,기타,기타,경상북도 문경시 문경읍 요성리 408-10,36.739306,128.1229656,-,,99,17300.61898,873,756.120318,9736,11661.64348
454,기타,기타,경상북도 문경시 문경읍 요성리 326-4,36.7358948,128.123792,-,,99,16923.77706,873,898.7385639,9736,11287.7734
455,기타,기타,경상북도 문경시 문경읍 교촌리 294-0,36.7414744,128.1112305,-,,99,17956.10033,873,400.1925857,8386,11765.39008
456,기타,기타,경상북도 문경시 문경읍 하리 106-13,36.7360338,128.1058932,-,,99,17635.99169,324,129.2295078,8386,11059.94964
457,기타,기타,경상북도 문경시 문경읍 하리 35-1,36.7367865,128.1105786,-,,99,17516.22308,873,429.5193662,8386,11248.81581
458,단순철거,단순철거,경상북도 문경시 가은읍 성저리 501-8,36.6250314,128.0417153,-,,99,14452.31805,763,2821.983818,9163,3358.752157
459,기타,기타,경상북도 문경시 문경읍 평천리 150-2,36.7886925,128.1444035,-,,99,21936.76892,396,1289.651259,9736,16329.11081
460,단순철거,단순철거,경상북도 청송군 진보면 기곡리 489-0,36.5392946,128.9812602,-,,73,4082.929906,34,4779.131723,12132,11537.80858
461,단순철거,단순철거,경상북도 청송군 현서면 두현리 933-6,36.2891044,128.9221674,-,,23,17747.23732,420,2280.126809,15072,22916.24173
462,단순철거,단순철거,경상북도 청송군 현서면 월정리 491-2,36.2102073,128.906795,-,,176,20618.93295,594,7346.727731,10082,25381.33808
463,단순철거,단순철거,경상북도 청송군 현서면 월정리 531-1,36.2058008,128.9076181,-,,176,20807.73042,594,7841.429526,5627,25459.45451
464,단순철거,단순철거,경상북도 청송군 현서면 월정리 693-2,36.2028568,128.9004392,-,,176,20269.55021,594,8100.248884,10082,25354.67255
465,단순철거,단순철거,경상북도 청송군 현서면 모계리 375-8,36.228923,128.9009152,-,,176,19721.86192,594,5219.320569,10082,23867.97341
466,단순철거,단순철거,경상북도 청송군 현서면 모계리 375-20,36.2290045,128.9002363,-,,176,19660.14432,594,5204.414885,10082,23810.13056
467,단순철거,단순철거,경상북도 청송군 현서면 화목리 493-0,36.2645908,128.8745712,-,,23,16084.14193,594,2209.525245,10082,20019.79802
468,단순철거,단순철거,경상북도 청송군 현서면 화목리 494-0,36.2647109,128.8746463,-,,23,16079.06926,594,2196.496546,10082,20021.03311
469,단순철거,단순철거,경상북도 청송군 현서면 덕계리 32-1,36.2886265,128.9083569,-,,23,16717.87318,420,1183.108153,15072,21765.63356
470,단순철거,단순철거,경상북도 청송군 현동면 눌인리 666-0,36.2540269,129.0370827,-,,228,27738.2655,897,4173.880651,5495,27933.92246
471,단순철거,단순철거,경상북도 청송군 현서면 구산리 451-0,36.2778894,128.894758,-,,23,16419.50474,594,244.3028827,15072,21089.21317
472,단순철거,단순철거,경상북도 청송군 진보면 추현리 369-1,36.5535608,128.9944755,-,,73,3499.729023,34,4209.830923,12132,9563.200054
473,단순철거,단순철거,경상북도 청송군 현동면 거성리 235-7,36.2737769,129.0394644,-,,228,27834.20648,897,2383.919843,5495,28482.00545
474,단순철거,단순철거,경상북도 청송군 현서면 월정리 734-0,36.2036261,128.8954481,-,,176,19814.28676,594,8000.027388,10082,24937.29211
475,단순철거,단순철거,경상북도 청송군 청송읍 거대리 416-1,36.425411,129.1083091,-,,73,14260.60019,578,4568.936123,12116,21833.78403
476,단순철거,단순철거,경상북도 청송군 청송읍 월외리 407-14,36.4411546,129.1075442,-,,73,12752.9588,98,4417.300157,12116,20102.90021
477,단순철거,단순철거,경상북도 청송군 진보면 신촌리 229-32,36.496556,129.1169169,-,,73,9181.717327,93,6447.850146,12116,14359.67778
478,단순철거,단순철거,경상북도 청송군 현서면 모계리 375-56,36.2288947,128.9011684,-,,176,19744.84892,594,5224.824129,10082,23889.43912
479,단순철거,단순철거,경상북도 청송군 파천면 덕천리 649-8,36.4352758,129.0054361,-,,73,11301.09517,891,2606.104045,12129,21074.71766
480,단순철거,단순철거,경상북도 청송군 청송읍 부곡리 393-0,36.4427558,129.078488,-,,73,11310.5674,98,1929.798547,12116,19599.24789
481,단순철거,단순철거,경상북도 청송군 진보면 신촌리 178-1,36.4983849,129.1179273,-,,73,9168.193716,93,6228.394851,12116,14197.5357
482,단순철거,단순철거,경상북도 청송군 진보면 광덕리 349-1,36.53815,129.0430759,-,,73,1501.384132,29,606.9796863,12129,9181.633877
483,단순철거,단순철거,경상북도 청송군 파천면 신기리 582-0,36.4809922,129.0330911,-,,73,6093.252163,891,3978.940836,12129,15580.35828
484,단순철거,단순철거,경상북도 청송군 진보면 이촌리 92-11,36.5296792,129.0359729,-,,73,1067.694574,34,418.1406532,12129,10243.11947
